references copy
Item type;Authors;Title;Journal;Publication year;Volume;Issue;Pages;Edition;Publisher;Address;Book title;Proceedings title;Conference location;Date published;ISBN;ISSN;URLs;DOI;Abstract;Keywords;Notes;Sub-type;Series
Book;Bumgardner VK;OpenStack in Action;;2015;;;;1st;Manning Publications Co.;USA;;;;2015;9781617292163;;;;In the cloud computing model, a cluster of physical computers hosts an environment that provides shared services (public and private) and offers the flexibility to easily add, remove, and expand virtual servers and applications. OpenStack is an open source framework that can be installed on individual physical servers to a cloud platform and enables the building of custom infrastructure (IaaS), platform (PaaS), and software (SaaS) services without the high cost and vendor lock-in associated with proprietary cloud platforms. OpenStack in Action offers real world use cases and step-by-step instructions to develop cloud platforms from inception to deployment. It explains the design of both the physical hardware cluster and the infrastructure services needed to create a custom cloud platform. It shows how to select and set up virtual and physical servers, implement software-defined networking, and the myriad other technical details required to design, deploy, and operate an OpenStack cloud in an enterprise. It also discusses the cloud operation techniques needed to establish security practices, access control, efficient scalability, and day-to-day DevOps practices. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications.;;;;
Journal Article;Tuma K,Calikli G,Scandariato R;Threat Analysis of Software Systems: A Systematic Literature Review;J. Syst. Softw.;2018;144;C;275–294;;Elsevier Science Inc.;USA;;;;2018-10;;0164-1212;"https://doi-org.proxy.bnl.lu/10.1016/j.jss.2018.06.073;http://dx.doi.org/10.1016/j.jss.2018.06.073";10.1016/j.jss.2018.06.073;;Systematic literature review (SLR), Risk assessment, Software systems, Threat analysis (modeling), Security-by-design;;;
Book Chapter;Zhang H,Li Y,Huang Y,Wen Y,Yin J,Guan K;MLModelCI: An Automatic Cloud Platform for Efficient MLaaS;;2020;;;4453–4456;;Association for Computing Machinery;New York, NY, USA;Proceedings of the 28th ACM International Conference on Multimedia;;;2020;9781450379885;;https://doi-org.proxy.bnl.lu/10.1145/3394171.3414535;;MLModelCI provides multimedia researchers and developers with a one-stop platform for efficient machine learning (ML) services. The system leverages DevOps techniques to optimize, test, and manage models. It also containerizes and deploys these optimized and validated models as cloud services (MLaaS). In its essence, MLModelCI serves as a housekeeper to help users publish models. The models are first automatically converted to optimized formats for production purpose and then profiled under different settings (e.g., batch size and hardware). The profiling information can be used as guidelines for balancing the trade-off between performance and cost of MLaaS. Finally, the system dockerizes the models for ease of deployment to cloud environments. A key feature of MLModelCI is the implementation of a controller, which allows elastic evaluation which only utilizes idle workers while maintaining online service quality. Our system bridges the gap between current ML training and serving systems and thus free developers from manual and tedious work often associated with service deployment. We release the platform as an open-source project on GitHub under Apache 2.0 license, with the aim that it will facilitate and streamline more large-scale ML applications and research projects.;;;;
Book;Bhat S;Practical Docker with Python: Build, Release and Distribute Your Python App with Docker;;2018;;;;1st;Apress;USA;;;;2018;9781484237830;;;;Learn the key differences between containers and virtual machines. Adopting a project based approach, this book introduces you to a simple Python application to be developed and containerized with Docker. After an introduction to Containers and Docker you'll be guided through Docker installation and configuration. You'll also learn basic functions and commands used in Docker by running a simple container using Docker commands. The book then moves on to developing a Python based Messaging Bot using required libraries and virtual environment where you'll add Docker Volumes to your project, ensuring your container data is safe. You'll create a database container and link your project to it and finally, bring up the Bot-associated database all at once with Docker Compose. What You'll Learn Build, run, and distribute Docker containers Develop a Python App and containerize it Use Dockerfile to run the Python App Define and run multi-container applications with Docker Compose Work with persisting data generated by and used by Docker containers Who This Book Is For Intermediate developers/DevOps practitioners who are looking to improve their build and release workflow by containerizing applications;;;;
Journal Article;Xu Q,Jin C,Rasid MF,Veeravalli B,Aung KM;Blockchain-Based Decentralized Content Trust for Docker Images;Multimedia Tools Appl.;2018;77;14;18223–18248;;Kluwer Academic Publishers;USA;;;;2018-07;;1380-7501;"https://doi-org.proxy.bnl.lu/10.1007/s11042-017-5224-6;http://dx.doi.org/10.1007/s11042-017-5224-6";10.1007/s11042-017-5224-6;It is feasible to deploy Docker containers in IoT (Internet of Things) devices because their runtime overhead is almost zero. Default Docker installation does not verify an image authenticity. Authentication is vital for users to trust that the image is not malicious or tampered with. As Docker is currently a popular choice for developers, tightening its security is a priority for system administrators and DevOps engineers. Docker recently deployed Notary as a solution to verify authenticity of their images. Notary is a viable solution, but it has some potential threats. This paper specifically addresses its vulnerability towards Denial-of-Service (DoS) attacks, and propose a potential solution: blockchain-based Decentralized Docker Trust (DDT). The proposed solution involves decentralizing the trust via a blockchain. The solution greatly reduces the risk of DoS and at the same time provides a signature verification service for Docker images. We demonstrate the proposed blockchain-based solution's scalability and efficiency by conducting performance evaluation. At the same time, we also implemented a system prototype of Decentralized Docker Trust (DDT), and conducted performance evaluation for it on Amazon Web Services (AWS) across multiple data centers.;Trust, Multimedia, Internet of things, Blockchain, Docker;;;
Book;Lowy J,Montgomery M;Programming WCF Services: Design and Build Maintainable Service-Oriented Systems;;2015;;;;4th;O'Reilly Media, Inc.;;;;;2015;9781491944837;;;;Programming WCF Services is the authoritative, bestselling guide to Microsofts unified platform for developing modern, service-oriented applications on Windows. Hailed as the definitive treatment of WCF, this guide provides unique insight, rather than documentation, to help you learn the topics and skills you need for building maintainable, extensible, and reusable WCF-based applications. Authors Juval Lwyone of the worlds top .NET expertsand Michael Montgomery have revised this edition to include the productivity-enhancing features of .NET Framework 4.6, along with the latest WCF ideas and techniques. By teaching you the why and the how of WCF programming, this book will help you master WCF and make you a better software engineer. Learn WCFs architecture and essential building blocks, including key concepts such as reliability and transport sessions Use built-in features such as service contracts, instance and concurrency management, transactions, queued services, and security Increase the quality of your WCF services by using design options, tips, and best practices in Lwys ServiceModelEx framework Understand the rationale behind particular design decisions, and rarely understood aspects of WCF development Learn why Azure Service Fabric is the killer app for modern DevOps;;;;
Conference Paper;Niedermaier S,Koetter F,Freymann A,Wagner S;On Observability and Monitoring of Distributed Systems – An Industry Interview Study;;;;;36–52;;Springer-Verlag;Berlin, Heidelberg;;Service-Oriented Computing;Toulouse France;;9783030337018;;"https://doi-org.proxy.bnl.lu/10.1007/978-3-030-33702-5_3;http://dx.doi.org/10.1007/978-3-030-33702-5_3";10.1007/978-3-030-33702-5_3;Business success of companies heavily depends on the availability and performance of their client applications. Due to modern development paradigms such as DevOps and microservice architectural styles, applications are decoupled into services with complex interactions and dependencies. Although these paradigms enable individual development cycles with reduced delivery times, they cause several challenges to manage the services in distributed systems. One major challenge is to observe and monitor such distributed systems. This paper provides a qualitative study to understand the challenges and good practices in the field of observability and monitoring of distributed systems. In 28 semi-structured interviews with software professionals we discovered increasing complexity and dynamics in that field. Especially observability becomes an essential prerequisite to ensure stable services and further development of client applications. However, the participants mentioned a discrepancy in the awareness regarding the importance of the topic, both from the management as well as from the developer perspective. Besides technical challenges, we identified a strong need for an organizational concept including strategy, roles and responsibilities. Our results support practitioners in developing and implementing systematic observability and monitoring for distributed systems.;Monitoring, Observability, Cloud, Distributed systems, Industry;;;
Conference Paper;Li S,Xu Q,Hou P,Chen X,Wang Y,Zhang H,Rong G;Exploring the Challenges of Developing and Operating Consortium Blockchains: A Case Study;;2020;;;398–404;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the Evaluation and Assessment in Software Engineering;Trondheim, Norway;2020;9781450377317;;"https://doi-org.proxy.bnl.lu/10.1145/3383219.3383276;http://dx.doi.org/10.1145/3383219.3383276";10.1145/3383219.3383276;Blockchain and smart contracts are being embraced by more and more industrial practitioners in multiple domains including agriculture, manufacturing, and healthcare. As a distributed, immutable, and partly public ledger, the consortium blockchain demonstrates its potential to enable trustworthy interoperability and collaboration between organizations. However, the mismatch between the unruled software engineering practices and the increased interest of the consortium blockchain technology may pose threats to the quality of systems implemented. To mitigate the possible threats, this study takes the angle of software engineering to systematically understand the challenges and possible solutions in terms of developing and operating a consortium blockchain-based system. For this purpose, we conducted a case study on a typical consortium blockchain-based system and exhaustively collected the data by two rounds in-depth interviews on practitioners of different roles in the case project. Based on the data analysis, eight pairs of challenges and potential solutions were identified, which cover the phases of the development and operation of consortium blockchains. Moreover, we also captured two implications after further analysis of the findings, which worth the special attention of researchers in the near future, i.e. DevOps and microservices for blockchain or smart contracts.;microservices, Consortium blockchain, smart contracts, DevOps;;;EASE '20
Conference Paper;Leite AF,Penciuc D;A Computing Environment Configuration Management Pattern Based on a Software Product Line Engineering Method;;2016;;;;;The Hillside Group;USA;;Proceedings of the 11th Latin-American Conference on Pattern Languages of Programming;Buenos Aires, Argentina;2016;;;;;This paper describes a pattern to configure computing environments based on a software product line engineering (SPLE) method. Configuring computing environment represents a challenging and time-consuming activity, even for skilled DevOps engineers. The challenges these users usually face include: (a) choosing a configuration management tool to write their configuration management scripts, (b) ensuring that their computing environments are correctly configured, (c) keeping configuration scripts' dependencies and relationships up-to-date, and (d) ensuring that their scripts are both reproducible and idempotent. Furthermore, configuration management tools offer different levels of abstraction to describe the tasks. Hence, they demand knowledge on various programming languages. Therefore, configuring a computing environment follows a pattern. The pattern is: (a) describe a target state for the computing environment, (b) identify the software packages and their required configuration files, (c) create the scripts with the commands to achieve the desired state, and then, (d) execute the scripts. Thus, a software product line (SPL) based strategy is ideal for this domain, as the products have common characteristics and variable parts. As a result, this approach demands much less time and effort than the traditional one.;software product line (SPL), infrastructure as code, pattern for computing environment configuration, DevOps;;;SugarLoafPLoP '16
Book;Atchison L;Architecting for Scale: High Availability for Your Growing Applications;;2016;;;;1st;O'Reilly Media, Inc.;;;;;2016;9781491943397;;;;"Every day, companies struggle to scale critical applications. As traffic volume and data demands increase, these applications become more complicated and brittle, exposing risks and compromising availability. This practical guide shows IT, devops, and system reliability managers how to prevent an application from becoming slow, inconsistent, or downright unavailable as it grows. Scaling isnt just about handling more users; its also about managing risk and ensuring availability. Author Lee Atchison provides basic techniques for building applications that can handle huge quantities of traffic, data, and demand without affecting the quality your customers expect. In five parts, this book explores:Availability: learn techniques for building highly available applications, and for tracking and improving availability going forward Risk management: identify, mitigate, and manage risks in your application, test your recovery/disaster plans, and build out systems that contain fewer risks Services and microservices: understand the value of services for building complicated applications that need to operate at higher scale Scaling applications: assign services to specific teams, label the criticalness of each service, and devise failure scenarios and recovery plans Cloud services: understand the structure of cloud-based services, resource allocation, and service distribution";;;;
Book;Carlson L;Programming for PaaS;;2013;;;;;O'Reilly Media, Inc.;;;;;2013;9781449334901;;;;Platform-as-a-Service (PaaS) is gaining serious traction among web and mobile developers, but as new PaaS providers emerge and existing vendors upgrade their features, its hard to keep track of what PaaS has to offer. This thorough introduction takes you through the PaaS model from a developers point of view, and breaks down the types of services that Google App Engine, Windows Azure, Heroku, Cloud Foundry, and others deliver. Whether youre an entrepreneur or part of a large enterprise development team, this book shows you how PaaS can help you focus on innovative applications, rather than spend your time worrying about technical operations.Track the clouds evolution from IaaS and DevOps to PaaS Learn how PaaS combines the simplicity of shared web hosting with the control of dedicated hosting Explore the benefits of both portable and non-portable PaaS options Apply best practices for moving legacy apps to PaaSand understand the challenges involved Write new applications for PaaS from scratch with RESTful meta-services Use PaaS to build mobile apps with backend services that scale Examine the core services that each major provider currently offers Learn the situations in which PaaS might not be advantageous;;;;
Book;Riti P;Practical Scala DSLs: Real-World Applications Using Domain Specific Languages;;2017;;;;1st;Apress;USA;;;;2017;9781484230350;;;;"Build domain specific languages (DSLs) using Java's most popular functional programming language: Scala. This book introduces the basics of Scala and DSLs using a series of practical examples. In Practical Scala DSLs, youll learn to create pragmatic and complete code examples that explain the actual use of DSLs with Scala: a web API and microservices; a custom language; a mobile app; a Forex system; a game; and cloud applications. At the end of this unique book, youll be able to describe the differences between external and internal DSLs; understand when and how to apply DSLs; create DSLs using Scala; and even create a DSL using another programming language. What You'll Learn Build DSLs in Scala Write a web API and microservices Create a custom language Apply DSLs to mobile apps development, a Forex trading system, game development, and more Discover the role of DSLs in cloud development Integrate DSLs as part of a DevOps program or structure Build internal and external DSLs Who This Book Is For Experienced Java coders with at least some prior experience with Scala. You may be new to DSLs.";;;;
Conference Paper;Tak B,Isci C,Duri S,Bila N,Nadgowda S,Doran J;Understanding Security Implications of Using Containers in the Cloud;;2017;;;313–319;;USENIX Association;USA;;Proceedings of the 2017 USENIX Conference on Usenix Annual Technical Conference;Santa Clara, CA, USA;2017;9781931971386;;;;"Container technology is being adopted as a mainstream platform for IT solutions because of high degree of agility, reusability and portability it offers. However, there are challenges to be addressed for successful adoption. First, it is difficult to establish the full pedigree of images downloaded from public registries. Some might have vulnerabilities introduced unintentionally through rounds of updates by different users. Second, non-conformance to the immutable software deployment policies, such as those promoted by the DevOps principles, introduces vulnerabilities and the loss of control over deployed software. In this study, we investigate containers deployed in a production cloud to derive a set of recommended approaches to address these challenges. Our analysis reveals evidences that (i), images of unresolved pedigree have introduced vulnerabilities to containers belonging to third parties; (ii), updates to live public containers are common, defying the tenet that deployed software is immutable; and (iii), scanning containers or images alone is insufficient to eradicate vulnerabilities from public containers. We advocate for better systems support for tracking image provenance and resolving disruptive changes to containers, and propose practices that container users should adopt to limit the vulnerability of their containers.";;;;USENIX ATC '17
Conference Paper;Jiménez M,Villegas NM,Tamura G,Müller HA;Deployment Specification Challenges in the Context of Large Scale Systems;;2017;;;220–226;;IBM Corp.;USA;;Proceedings of the 27th Annual International Conference on Computer Science and Software Engineering;Markham, Ontario, Canada;2017;;;;;Traditionally, the focus of software deployment has been mainly on the infrastructure to realise deployment and configuration (D&C) of complex and distributed systems, with an increasing interest in deployment of internet of things and cyber-physical systems. Advances in job scheduling, storage orchestration, containerized applications, along with agile practices such as continuous integration and microservices architecture, have improved the state of the practice. However, little effort has been devoted to the need for D&C specifications to support the various levels of detail and abstraction present in large-scale systems. The understanding of the software components hierarchy has shifted from the comprehension of design artefacts, usually specified with static diagrams, to the understanding of runtime concepts. The DevOps movement has dramatically influenced how and when deployment is realised, but little has been done from the software perspective in terms of documentation and linkage between design and runtime artefacts in the sense of software specification as such. This paper presents an overview of the state of the art of deployment requirements for large-scale, distributed and complex software and its automation and characterises a set of deployment specification challenges intended as starting points for advancing the field of software deployment.;continuous integration continuous configuration, runtime artefacts, continuous software deployment, deployment specification, DevOps, models at runtime;;;CASCON '17
Book;Axelos;ITIL Practitioner Guidance;;2016;;;;;The Stationery Office;GBR;;;;2016;9780113314874;;;;ITIL Practitioner Guidance is the essential reference text which accompanies the ITIL Practitioner qualification. Fully integrated with the ITIL Practitioner syllabus, this publication is also a practical guide that helps IT service management (ITSM) professionals turn ITIL theory into practice through case studies, worksheets, templates and scenarios. The book assumes knowledge of ITIL and ITSM up to ITIL Foundation level, and begins with a discussion of the guiding principles of ITSM: Focus on value Start where you are Progress iteratively Be transparent Keep it simple Design for experience Work holistically Observe directly Collaborate It goes on to explain how these guiding principles are essential for ITSM and how they relate to philosophies, frameworks and methodologies such as DevOps, Lean, Agile etc. The publication shows how following the CSI (continual service improvement) approach, and how the core skills of organizational change management, communication, metrics and measurement, can underpin successful ITSM improvement initiatives. Assembled by the Practitioner Architect Team of Kevin Behr, Karen Ferris, Lou Hunnebeck, Stuart Rance, Barclay Rae and Paul Wilkinson, a team of renowned ITSM experts under the guidance of AXELOS' Kaimar Karu, ITIL Practitioner Guidance concludes with a practical toolkit containing templates, worksheets and assessments that will help ITSM professionals to improve the value of the service they provide to their customers.;;;;
Conference Paper;Bansal C,Renganathan S,Asudani A,Midy O,Janakiraman M;DeCaf: Diagnosing and Triaging Performance Issues in Large-Scale Cloud Services;;2020;;;201–210;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering: Software Engineering in Practice;Seoul, South Korea;2020;9781450371230;;"https://doi-org.proxy.bnl.lu/10.1145/3377813.3381353;http://dx.doi.org/10.1145/3377813.3381353";10.1145/3377813.3381353;Large scale cloud services use Key Performance Indicators (KPIs) for tracking and monitoring performance. They usually have Service Level Objectives (SLOs) baked into the customer agreements which are tied to these KPIs. Dependency failures, code bugs, infrastructure failures, and other problems can cause performance regressions. It is critical to minimize the time and manual effort in diagnosing and triaging such issues to reduce customer impact. Large volume of logs and mixed type of attributes (categorical, continuous) in the logs makes diagnosis of regressions non-trivial.In this paper, we present the design, implementation and experience from building and deploying DeCaf, a system for automated diagnosis and triaging of KPI issues using service logs. It uses machine learning along with pattern mining to help service owners automatically root cause and triage performance issues. We present the learnings and results from case studies on two large scale cloud services in Microsoft where DeCaf successfully diagnosed 10 known and 31 unknown issues. DeCaf also automatically triages the identified issues by leveraging historical data. Our key insights are that for any such diagnosis tool to be effective in practice, it should a) scale to large volumes of service logs and attributes, b) support different types of KPIs and ranking functions, c) be integrated into the DevOps processes.;root causing, performance analysis, issue triaging, machine learning, cloud services;;;ICSE-SEIP '20
Book Chapter;Angermeir F,Voggenreiter M,Moyón F,Mendez D;Enterprise-Driven Open Source Software: A Case Study on Security Automation;;2021;;;278–287;;IEEE Press;;Proceedings of the 43rd International Conference on Software Engineering: Software Engineering in Practice;;;2021;9780738146690;;https://doi-org.proxy.bnl.lu/10.1109/ICSE-SEIP52600.2021.00037;;Agile and DevOps are widely adopted by the industry. Hence, integrating security activities with industrial practices, such as continuous integration (CI) pipelines, is necessary to detect security flaws and adhere to regulators' demands early. In this paper, we analyze automated security activities in CI pipelines of enterprise-driven open source software (OSS). This shall allow us, in the long-run, to better understand the extent to which security activities are (or should be) part of automated pipelines. In particular, we mine publicly available OSS repositories and survey a sample of project maintainers to better understand the role that security activities and their related tools play in their CI pipelines. To increase transparency and allow other researchers to replicate our study (and to take different perspectives), we further disclose our research artefacts.Our results indicate that security activities in enterprise-driven OSS projects are scarce and protection coverage is rather low. Only 6.83% of the analyzed 8,243 projects apply security automation in their CI pipelines, even though maintainers consider security to be rather important. This alerts industry to keep the focus on vulnerabilities of 3rd Party software and it opens space for other improvements of practice which we outline in this manuscript.;;;;
Journal Article;Leotta M,Cerioli M,Olianas D,Ricca F;Two Experiments for Evaluating the Impact of Hamcrest and AssertJ on Assertion Development;Software Quality Journal;2020;28;3;1113–1145;;Kluwer Academic Publishers;USA;;;;2020-09;;0963-9314;"https://doi-org.proxy.bnl.lu/10.1007/s11219-020-09507-0;http://dx.doi.org/10.1007/s11219-020-09507-0";10.1007/s11219-020-09507-0;Test automation enables continuous testing, a cornerstone of agile methods, and DevOps. Assertions play a fundamental role in test automation, and recently competing assertion libraries for unit testing frameworks, such as, for example, JUnit or TestNG, emerged. Thus, it is imperative to gauge assertion libraries in terms of developer/tester productivity, allowing SQA managers and software testers to select the best. The goal of this work is comparing two assertion libraries having a different approach (matchers vs. fluent assertions) w.r.t. two dependent variables: correctness of developed assertions and time to develop them. We conducted two controlled experiments with Bachelor students in Computer Science and Master students in Computer Engineering. AssertJ (fluent assertions approach) is compared with Hamcrest (matchers), in a test development scenario with the Java language where 672 assertions were developed by 48 students overall. The results show that (a) adopting AssertJ improves the tester’s productivity significantly during the development of assertions only for Bachelor students, and (b) time of developing assertions is similar using AssertJ or Hamcrest in both the categories of participants. Testers and SQA managers selecting assertion libraries for their organizations should consider as first choice AssertJ in case of inexperienced developers/testers since our study shows that it increases the productivity of Bachelor students more than Hamcrest.;AssertJ methods, Tester productivity, Hamcrest matchers, Controlled experiment, Evidence-based Software Engineering, Assertion development;;;
Conference Paper;Ren Z,Wang W,Wu G,Gao C,Chen W,Wei J,Huang T;Migrating Web Applications from Monolithic Structure to Microservices Architecture;;2018;;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the Tenth Asia-Pacific Symposium on Internetware;Beijing, China;2018;9781450365901;;"https://doi-org.proxy.bnl.lu/10.1145/3275219.3275230;http://dx.doi.org/10.1145/3275219.3275230";10.1145/3275219.3275230;In the traditional software development and deployment, the centralized monolithic is always adopted, as the modules are tightly coupled, which caused many inconvenience in software DevOps. The modules with bottlenecks in monolithic application cannot be extend separately as the application is an integral part, and different module cannot use different technology stack. To prolong the lifecycle of the monolithic applications, its need to migrated it to microservice architecture. Due to the complex logic and large number of third party framework libraries depended, get an accurate comprehensive of the application characteristics is challenging. The existing research mostly based on the static characteristics, lack of consideration of the runtime dynamic characteristics, and the completeness and accuracy of the static analysis is inadequate. To resolve above problems, we combined static and dynamic analysis to get static structure and runtime behavior characteristics of monolithic application. We employed the coupling among functions to evaluate the degree of dependence, and through function clustering to achieve the migration of legacy monolithic applications and its data to microservices architecture. Through the empirical study of migrate the typical legacy project to microservices, it is proved that we proposed method can offer precise guidance and assistance in the migration procedure. Experiments show that the method has high accuracy and low performance cost.;application migration, monolithic application, microservices, function clustering;;;Internetware '18
Book;Mead NR,Woody C;Cyber Security Engineering: A Practical Approach for Systems and Software Assurance;;2016;;;;1st;Addison-Wesley Professional;;;;;2016;9780134189802;;;;Cyber Security Engineering is the definitive modern reference and tutorial on the full range of capabilities associated with modern cyber security engineering. Pioneering software assurance experts Dr. Nancy R. Mead and Dr. Carol C. Woody bring together comprehensive best practices for building software systems that exhibit superior operational security, and for considering security throughout your full system development and acquisition lifecycles. Drawing on their pioneering work at the Software Engineering Institute (SEI) and Carnegie Mellon University, Mead and Woody introduce seven core principles of software assurance, and show how to apply them coherently and systematically. Using these principles, they help you prioritize the wide range of possible security actions available to you, and justify the required investments. Cyber Security Engineering guides you through risk analysis, planning to manage secure software development, building organizational models, identifying required and missing competencies, and defining and structuring metrics. Mead and Woody address important topics, including the use of standards, engineering security requirements for acquiring COTS software, applying DevOps, analyzing malware to anticipate future vulnerabilities, and planning ongoing improvements. This book will be valuable to wide audiences of practitioners and managers with responsibility for systems, software, or quality engineering, reliability, security, acquisition, or operations. Whatever your role, it can help you reduce operational problems, eliminate excessive patching, and deliver software that is more resilient and secure.;;;;
Conference Paper;Syed MH,Fernandez EB;A Reference Architecture for the Container Ecosystem;;2018;;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 13th International Conference on Availability, Reliability and Security;Hamburg, Germany;2018;9781450364485;;"https://doi-org.proxy.bnl.lu/10.1145/3230833.3232854;http://dx.doi.org/10.1145/3230833.3232854";10.1145/3230833.3232854;"Containers have gained immense popularity as a portable and lightweight virtualization solution. They facilitate application development, deployment and distribution across computing environments. Their success is also attributed to the support they offer for DevOps teams and for applications developed using a microservices architecture style. Containers are not the only components in the environment but work closely with other components for managing and supporting them, forming an ecosystem. Architectural modeling can be used as a powerful tool to represent ecosystems which helps understand, build and secure such complex systems. We describe in this paper several models we have created for container ecosystem components. These models are abstract, and they help generalize the systems to handle complexity and heterogeneity; they provide a common vocabulary and build holistic and unified views of the systems. The use of UML for modeling improves precision. This can lead to better implementations with respect to reliability, security and interoperability compared to ad hoc methods. A reference architecture will not just facilitate the work of developers and security engineers but also of anyone who aims to ensure compliance, privacy, safety, reliability and/or governance for container ecosystems and we show how to build one. We also describe relationships between container, cloud and IoT ecosystems. This paper is part of our work on developing a security reference architecture for container ecosystems.";Containers, container ecosystem, container manager;;;ARES 2018
Book;Gmez JM,Mora M,Raisinghani MS,Nebel W,O'Connor RV;Engineering and Management of Data Centers: An IT Service Management Approach;;2017;;;;1st;Springer Publishing Company, Incorporated;;;;;2017;9783319650814;;;;This edited volume covers essential and recent development in the engineering and management of data centers. Data centers are complex systems requiring ongoing support, and their high value for keeping business continuity operations is crucial. The book presents core topics on the planning, design, implementation, operation and control, and sustainability of a data center from a didactical and practitioner viewpoint. Chapters include: Foundations of data centers: Key Concepts and Taxonomies ITSDM: A Methodology for IT Services Design Managing Risks on Data Centers through Dashboards Risk Analysis in Data Center Disaster Recovery Plans Best practices in Data Center Management Case: KIO Networks QoS in NaaS (Network as a Service) using Software Defined Networking Optimization of Data Center Fault-Tolerance Design Energetic Data Centre Design Considering Energy Efficiency Improvements During Operation Demand-side Flexibility and Supply-side Management: The Use Case of Data Centers and Energy Utilities DevOps: Foundations and its Utilization in Data Centers Sustainable and Resilient Network Infrastructure Design for Cloud Data Centres Application Software in Cloud-Ready Data Centers This book bridges the gap between academia and the industry, offering essential reading for practitioners in data centers, researchers in the area, and faculty teaching related courses on data centers. The book can be used as a complementary text for traditional courses on Computer Networks, as well as innovative courses on IT Architecture, IT Service Management, IT Operations, and Data Centers.;;;;
Conference Paper;Van Heesch U,Theunissen T,Zimmermann O,Zdun U;Software Specification and Documentation in Continuous Software Development: A Focus Group Report;;2017;;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 22nd European Conference on Pattern Languages of Programs;Irsee, Germany;2017;9781450348485;;"https://doi-org.proxy.bnl.lu/10.1145/3147704.3147742;http://dx.doi.org/10.1145/3147704.3147742";10.1145/3147704.3147742;We have been observing an ongoing trend in the software engineering domain towards development practices that rely heavily on verbal communication and small, closely-interacting teams. Among others, approaches like Scrum, Lean Software Development, and DevOps fall under this category. We refer to such development practices as Continuous Software Development (ConSD). Some core principles of ConSD are working in short iterations with frequent delivery, striving for an optimal balance between effectiveness and efficiency, and amplify learning in the development team. In such a context, many traditional patterns of software specification, documentation and knowledge preservation are not applicable anymore.To explore relevant topics, opinions, challenges and chances around specification, documentation and knowledge preservation in ConSD, we conducted a workshop at the 22nd European Conference on Pattern Languages of Programs (EuroPLoP), held in Germany in July 2017. The workshop participants came from the industry and academia.In this report, we present the results of the workshop. Among others, we elaborate on the difference between specification and documentation, the special role of architecture in ConSD in general, and architecture decision documentation in particular, and the importance of tooling that combines aspects of development, project management, and quality assurance. Furthermore, we describe typical issues with documentation and identify means to efficiently and effectively organize specification and documentation tasks in ConSD.;Agile, Specification, Software engineering, Continuous Software Development, Lean, DevOps;;;EuroPLoP '17
Conference Paper;Brito M,Cunha J,Saraiva J;Identification of Microservices from Monolithic Applications through Topic Modelling;;2021;;;1409–1418;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 36th Annual ACM Symposium on Applied Computing;Virtual Event, Republic of Korea;2021;9781450381048;;"https://doi-org.proxy.bnl.lu/10.1145/3412841.3442016;http://dx.doi.org/10.1145/3412841.3442016";10.1145/3412841.3442016;Microservices emerged as one of the most popular architectural patterns in the recent years given the increased need to scale, grow and flexibilize software projects accompanied by the growth in cloud computing and DevOps. Many software applications are being submitted to a process of migration from its monolithic architecture to a more modular, scalable and flexible architecture of microservices. This process is slow and, depending on the project's complexity, it may take months or even years to complete.This paper proposes a new approach on microservice identification by resorting to topic modelling in order to identify services according to domain terms. This approach in combination with clustering techniques produces a set of services based on the original software. The proposed methodology is implemented as an open-source tool for exploration of monolithic architectures and identification of microservices. A quantitative analysis using the state of the art metrics on independence of functionality and modularity of services was conducted on 200 open-source projects collected from GitHub. Cohesion at message and domain level metrics' showed medians of roughly 0.6. Interfaces per service exhibited a median of 1.5 with a compact interquartile range. Structural and conceptual modularity revealed medians of 0.2 and 0.4 respectively.Our first results are positive demonstrating beneficial identification of services due to overall metrics' results.;;;;SAC '21
Book;Goericke S;The Future of Software Quality Assurance;;2019;;;;1st;Springer Publishing Company, Incorporated;;;;;2019;9783030295080;;;;"This open access book, published to mark the 15th anniversary of the International Software Quality Institute (iSQI), is intended to raise the profile of software testers and their profession. It gathers contributions by respected software testing experts in order to highlight the state of the art as well as future challenges and trends. In addition, it covers current and emerging technologies like test automation, DevOps, and artificial intelligence methodologies used for software testing, before taking a look into the future. The contributing authors answer questions like: ""How is the profession of tester currently changing? What should testers be prepared for in the years to come, and what skills will the next generation need? What opportunities are available for further training today? What will testing look like in an agile world that is user-centered and fast-paced? What tasks will remain for testers once the most important processes are automated?"" iSQI has been focused on the education and certification of software testers for fifteen years now, and in the process has contributed to improving the quality of software in many areas. The papers gathered here clearly reflect the numerous ways in which software quality assurance can play a critical role in various areas. Accordingly, the book will be of interest to both professional software testers and managers working in software testing or software quality assurance.";;;;
